Date,Price Trend,Volume Trend,SMA Distance from the Price,SMA Trend,EMA Distance from the Price,EMA Trend,RSI,CMF,CMF Trend,MFI,MFI Trend,VWMA Distance from the Price,VWMA Trend
2016-02-22,1.9677355038084117e-15,-0.002617383640566259,0.07376441021350069,7.218974527731971e-16,0.0584374446749745,7.218974527731971e-16,100.0,0.07731828626096679,-0.4340144041227104,80.967483808015,-19.032516191984996,0.23825719912425788,0.011865636680112241
2016-02-23,1.9677355038084117e-15,-0.011518937623571555,0.04474630625115125,7.218974527731971e-16,0.04064820018544171,7.218974527731971e-16,100.0,-0.03231227161722063,0.03268652842730691,83.29613528191362,-16.70386471808638,0.23572234352106983,0.01648109579057503
2016-02-24,1.9677355038084117e-15,-0.013198701996134416,0.023662669233319805,7.218974527731971e-16,0.0317240683348107,7.218974527731971e-16,100.0,0.004199995971283459,-0.0330590198288246,68.70483155680539,-8.39220190188908,0.2287844412042955,0.02468288933066525
2016-02-25,1.9677355038084117e-15,-0.005560389251372199,0.013957767415065048,7.218974527731971e-16,0.022656160043612622,7.218974527731971e-16,100.0,0.49184521374921614,0.4145269274882494,58.19259561494363,-22.774888193071376,0.22652426947368728,0.02359482295060149
2016-02-26,1.9677355038084117e-15,-0.0024692284581976295,-0.0006974670695067964,7.218974527731971e-16,0.010657688233059154,7.218974527731971e-16,97.57370539334408,0.3676569507007048,0.3999692223179254,62.56030042485141,-20.73583485706221,0.23319389716771113,0.014480154980666224
2016-02-29,1.9677355038084117e-15,-0.0009875759172794129,-0.00983202463203059,7.218974527731971e-16,0.00033687784602740023,7.218974527731971e-16,93.87137220617959,0.13410355259914672,0.12990355662786326,41.34547955822959,-27.359351998575796,0.24334626863172917,0.004827556887543958
2016-03-01,1.9677355038084117e-15,-4.823160470916515e-05,0.026437427139482522,7.218974527731971e-16,0.02917847418850264,7.218974527731971e-16,94.79633808987157,0.28881478110135667,-0.20303043264785947,40.92739778784528,-17.265197827098348,0.19991543519500263,0.0034118252043934855
2016-03-02,1.9677355038084117e-15,-0.004320447025619338,0.025242582602072405,7.218974527731971e-16,0.023268113346042174,7.218974527731971e-16,94.90811304868883,0.19643884078858537,-0.17121810991211944,58.07257553524439,-4.487724889607023,0.19419173936444203,0.0063037842107523355
2016-03-03,1.9677355038084117e-15,-0.00351743142850728,0.011750784451915602,7.218974527731971e-16,0.009657665457105002,7.218974527731971e-16,91.65997482688535,0.0891257463992244,-0.044977806199922324,37.51836873618218,-3.827110822047409,0.2029733545248267,0.004977998017917475
2016-03-04,1.9677355038084117e-15,-0.007083000440500819,0.003154526519579731,7.218974527731971e-16,0.00431165246827081,7.218974527731971e-16,90.45606382401087,0.1140304946088062,-0.17478428649255046,42.35667875666544,1.4292809688201586,0.2061635412795255,0.00520350136741974
2016-03-07,1.9677355038084117e-15,-0.0053301327321365645,-0.009410873899221045,7.218974527731971e-16,-0.0013996108114528172,7.218974527731971e-16,87.96748442405334,0.4024646804624555,0.20602583967387011,44.81673913323844,-13.255836402005947,0.2125746099649755,0.006659731238454888
2016-03-08,1.9677355038084117e-15,0.0004951569050040336,-0.021558349879783723,7.218974527731971e-16,-0.013165832986432952,7.218974527731971e-16,81.16913607388086,0.005229792443088763,-0.08389595395613564,19.314371921888423,-18.20399681429376,0.2309237486331721,0.0002850939354839712
2016-03-09,1.9677355038084117e-15,-0.0007926793788928256,-0.014716012058843847,7.218974527731971e-16,-0.009197275351627066,7.218974527731971e-16,80.94000614123962,-0.08701835750552996,-0.20104885211433615,0.0,-42.35667875666544,0.23155382867417978,-0.007029765942900594
2016-03-10,1.9677355038084117e-15,0.004703686625248599,-0.010311972023798327,7.218974527731971e-16,-0.007224895896772304,7.218974527731971e-16,80.30527035597962,-0.054462346294596994,-0.4569270267570525,0.0,-44.81673913323844,0.23319389716771113,-0.0072043048363803945
2016-03-11,1.9677355038084117e-15,0.001690150011130657,0.00861554779592133,7.218974527731971e-16,0.006451276603887224,7.218974527731971e-16,81.89325142744251,0.1844633458312684,0.17923355338817962,21.428250713306838,2.113878791418415,0.216292086365108,-0.004084001051968056
